text,is_hate
un denatawath nathi prashnane meke comment karanna apu unta thiyenne,False
hasini gei filt gei song ekak yako meee hammeeee marketing ting ting,False
meka yakooo marai bn umbe hakiyawa hiniyta dena kindi thama pattama,False
me song eke sansara sihinaya tittle ekath dapu eke ma nubhe kumara kiyala demmanam hodai mokada ekane wediyenma kiyanne,False
sobitha hamuduruwo hitiye nathi eka num loku deyak un wahanse me de dakke nathi eka hodai eka athakin,False
kohomath islam kiyanne ithin tharsthawadi agamak ne ithin thopila wa pana pitin tiye wala dala gihi thyna a one,True
thopila hedigewila yanna one kalakanni hamba heththa,True
monatharam srestsa rajathumekada maha rawana raju ai minissune amathaka,False
hama agamakatama hama sanskruthiyakatama garu kireema ethana thamai ape pawathma,False
me boy wagema train kaduna welawe udaw karapu minissu thawa ati,False
oya wage ayata lankawa wage rataka anagathedi thanak tiyeida kiyala kiyanna be malli budusaranai,False
honda wadak me video eken kiyanna hadapu de terum ganna beri moda minissu eka eka katha kiyai ganan ganna epa e ape minissunge hati,False
ape samahara nugat drivers la nisa chatar lankawa,True
api me loke kothanada inne kiyala hithenawa neda,False
thawath minihek geana hithana minissu innawanam mee puja bumiya apirisidu wenne nee,False
kawda oi me giriya yatin ka gahana eka p epa wenawa,False
monna hutthakda oi me,True
niyama weerayek obata niwansuwa,False
naduwa ahpu ekata sapavewa,True
mewage aluthen hithana minissu nohitiyanm ubala coment karanne paken thama,True
kohamada huttho meka pare dagena yanne,True
meka aluth product launch ekak karanna gahapu ad ekak,False
anushage katata denna thibanm,True
ohoma daala tommorowland tos danna epa huththo sahara flash ghanne owage,True
lankawe kalakanni ekka oka adugane awruddakwat oya widiyatama thibboth hodai,True
monawa genawath ape kalakanni minissu masen deken kanawa,True
mewa kala dai dawasata dekata kohaka gon hathikarayakne rate inne,True
mewa hodata pavichchi kerapiyau moda haththa lankawe nama katha kerane moda harakta wadiyan,True
lankawe un kapu beepu ewa ethanama rena unt a mewa hariyaida,True
kuhaka jathiyata kawadawath hoda de denna ba un wenasa karala danawa owa,True
mewata balu postra kiyana eunta therenne nadda mewaye inne ballo kiyala ungema aya thamayi mewata balu bostra kiyanne,True
podi minihek jeewathwenna gahakin gediyak kadan kewath hire dana me wage kalakanni podu depala winasa karanakota balan inna pake niwata asikkitha ratak lankawa thu nodakin,True
awajathaka heththa munta chande dena apitama thama gaha ganna oni,True
mona pakaya hada kauwada danne na ath me rata nidahas kara gaththa me wage minihek gen athal ganna apa,True
munta puluvanda rata hadanna gahanna oni bombayak ivarayak venna,True
pau kara kalakannima hetikaraya pallma pall hora awastawadi musalayo,True
ai ban unp un chandyakata baya kepuwat kola kiyana harak tama unp ekata kade yanne mokda meccara ratata kelawapu raniltane mun kade yanne lajjai bn,True
kalakanni thopita dn wenasa sepada apida sirawa genawe wesa heththata rate thiyena wena kisima prashnayak lokuth ne mathakath ne ponna unp heththa,True
ithin ara ranil kiyana lokuma pissai fb eke hitiya niweradi leader knk balaporoththu wechchi pattama gon adminla tikai nisa thama me,True
mokaedda mme kala kaniyek ai yako eka wisuruwama baya hitapalla pennenna danwath ara bahirawayata arliyagahamaduren yanna kiyapalla,True
pala pala muhudu higanna ubala kade yanne ratakata hodak wena dekata neme ubala salli maththema merena huththige puthalaa,True
salli malu delath ganna bari una bahuthare pissu pakayata una hadenawa u n p karayo akathu unama,True
pissu hedanawa toge pake pag eka unp ekaka kiyala dannawanam oka balannewat ne den fb eka adan netuwa ammage thurulata wela adapan samanalayooo,True
munva melokayata jataka karpu demaupiyange veradda putha,True
yaluwane mage youtube channel eka subcribe karanna,False
meka magull geyak nema badu pott ekak,True
nodakin lankawe inna hodama wesiyo taka,True
wadagath news tiyenawa nam dapan mchan me wage chater ewa noda,False
munta hikennama gahanna ona munthamai dan hadena lamai narak karanne,True
mun badina unta harak paiyyak welala puke arinta one yako mun ganu wage inna pirimi yako,True
lankawe hodama gone badu tikai e mada inna buruwo tikai,True
samanalayoi ganikawoi akata akathu wechcha samajayak,True
nodakin kalakaniyo ratama kanaws wesa badu,True
ganikawo tika eka thenakata set wela ganika wedding ekakata,True
baduwak bandagatthama oka wenawa kiyala amuthuwen ugannanna oneda bn,True
mun hari asawen inne adagahapu gaman sari galawanna wesiyo,True
meka me magulak newe kudu badu wesa atal k iyaaaa filt,True
kollani prewesam weyaw tana dekapennala lannwenna yanne hukaala,True
raj pakayata hena hatha gahapan kiyala hithana eun me comment ekata like karanda,True
api punnci rate kawe ganikaviyo,True
melo rahak na apita adala nane anunge reddawal,False
matath me wedin ekata awanm baduwak gahanda thibani,True
mun nam patta wesiyo tikak ai mewata wiruddawa piyawarak ganna bari mun ganu sanhayhiyatama lajjawak mulu ratatama pililayak,True
puduma kasillak munta thiyenne,True
munta mahasona gahalada diwawal adagana konda kadagana than aliyadagana prissu kalinna aka minihak thoraganin ganiya,True
polawa palagana yanna hithenawa yako me wa dekala thu nodaking,True
nodaki mun mokkuda ma thamga gani wana akak akka miniya thawa akak akka jivithata dakkami ma waga wedding akak,True
gon badu serama methana police karayo ganika madam walata painawa harinm me gon badu tikai allanna one ponna police karayo,True
api dannawa ban meka fillt gei aran gon gaanigei sinduwak release karanna hadanne kiyala,True
yako filty thota maha awajathakayek balapan umba anunge wedding ekaka anwashya widiyata bride wa kiss karana heti meka lankawa yako apita sanskruthiyak thiyenawa,True
me enni lankawe enna superima ponnayoi superima wesaviyo thopita ohoma wela madi sadacharayak nathi awajathaka haththa ratata gilapina wedihata wadakarapan,True
filty kiyanne mokekda guu punchekne mekath u wagema ui ara wili lajja nathi kaalakanni ganui ekathuwela karapu marketing ekak amana wadak ithing tharuuna paramparawai podi eunwai wanasanna hondai hiiiiiiiiiiiiii thiyaganin kotte yata laksha dahaya,True
sri lankawe models la na ahempitimma inne monawath karaganna deayak nathuwa jiwithe gon badu model vimai,True
ara kaushi wesa haththa hithan inna akita witharai tanak thiyanna kiya wena gahnunta nathi widiyata mun wage vesa badu aa lankawe anith ghanun eliya dagana inna,True
rata kanne desapaluwoi badapu dawasema wateyana wesa badui nodakin,True
mewa dakiddi hithena wa kiyana katha aththa kiyala lajjawak nathi wrsiyo achcharai kiyanna thiyennee,True
ponnayo raja wela ewith inna okkoma wesiyone thane eliye dagen puka dila modeling karala prasidda unama un hari genu kiyala hithan inne keri badu owa dekkama negala thiyena paiyath bahinawa,True
sachini akkage dance eka nis thma meka balnna awe eth patta song eka suba gaman ayyee,False
vedio ekak karanna epa meka me widihata lassanai mn hoya hoya htye meka vedio ekak karala sinduwa knna epa plzzz,False
supiri oya maruvata sindu kiyanavaa supiri,False
gdk lassanayi deweni kotasak karanna denna ekathu wena ekak me dennam dala e song eka karana,False
ammo ekadigata parak song eka ahuwa marama lassanai ayiya wish you all the best wow suberb,False
lassanai eth ai eyala anthimedi hambenne naththe ekata dukaaaaaaaaaaaaai,False
sinduwa maru athtama hithta wadinwa dn tiyenna adana sindu wage neme kiyka wedak ne api machan team ekath oyth suba pathanawa ela,False
fatta sinduwe theruma nm kiyala wadak na me wage kathawak dala sinduwa haduwat godak thx meka nm matama gahala wage,False
attma pattai aiye supiriytma wade karala tinawa niymatema hoda kolitiyak tinwa,False
ada kale hadena godak pissu aklpa darana e pissu sankalpa darshnika lesa sadarnaya karanna u sindu athra me wage sinduwk ape pinkata aiya dunna kiyla kiynn puluwn,False
lassana voice ekak thiyena eh wagema lassana roopa rachanawak thiyena meh wage dewal thamai api hamoma age karanne one harsha withanage kiyanne danata lankawen bihiunu ragadhari shayiliyen rock shayiliyen goda nagunu best artist kenek,False
hodama nirmanayak music singing patta thanks widinna puluwan song k apata dunnata,False
den thiyena songs ekka baladdi methakadi asawen balapu ekama song eka,False
patta aah eth kellata gahapu kammul paaranam darunuwatama thibba,False
ahpu lassana sinduwak hoda nirmanyak harsha aiye digatma oywage wenas nirmana karna jaya wewa,False
ubata ekak kiyannam parissamin hitapan kasun kalhara dawasaka beelama marunama e thanata enna ona ekama eka uba adarei palenna,False
supirima song ekak kaalekata passe apu supirima sinhala song eka digatama me wage lassana nirmana balaporoththu wenawa,False
anunge kunu vikunala salli hoynna epa bm eki ka ekka nidagttat apita mokada,False
okkoma dunna mudal yodawala niwasak nithi ahinsakayeakuta dunnanam hari neada rs ada monawada karanna puluwan meawanam vikara moda wada,False
rs gane wath thibunanam hodai mudala wagema kriyawath uthum mitath wada wadagath rakiya labadimata uthsaha kirima,False
me manthe salli dansal denna dufpath apema salli koitharam horakan karla adda thawa koitharam adda mu laga,False
nuugath sadachara kamak nethi un balayata apuwahama mewage dewal athi wenawa upekshawen bala idimu,False
mala jarawak ane piumi hansamali appiriyai,True
ponna party,True
muge rekod wala tiyenawa piyumi samaga kiyapu dewal aru pons keneklu,True
me gon badu ape elaine na wasawal,True
wal pukayo kello lamgata genwanawa,True
ranjan aiyagen pukawal parissam karaganilla nangila tika hode,True
anunge awa hoyana ponsiyo meka balapalla,True
gon ranja hirunikata vitharak neme puke arala thiyenne oya vanachara balla thawa niliyanta puke arala thiyanawa lankawe inna ekama vanachara kupadi naluwa gon ranja vitharai balagena rangana ranja oyage gaanitath puke ariwee,True
samithage duwa amma wagema niyama gon baduwak,True
tu nodaken wanacara hatta,True
badu illana taru samaga back side,True
ara wassiyo tikata mahum ddanda unada dannaa ranja awitne,True
nadakin oya gon ranjawa gennawe ai yako thopita lajja nadda,True
me ponna aanduwa thawa awrudu bayawenna epa gematama set weyan,True
ea gaththu ewa unge genuta i hora genuntai hora amathi ballantath oennama denna aiye ea pakeyanta baya nowi,True
kari basil uhge duwata denna athi salli k dunne nh hora basil wesika putha okata nam cancer ekak hadila marenna oneh,True
unlike karala thiyenne gon kuhaka haththa,True
okage katata henagahapa,True
hoda wada para ballata ganekawo tekat ganna one attadanhuwata balliyot rata kawa,True
ranil kiyanne baleek,True
unp eke ponna sinhala heththa mujibar gena kiyaddi ke gahanawa sabawa kal damma pake anduwa,True
unp jvp ponna keriyo,True
unp pisso horu kalakani saththu,True
ponna ranilayo uddaya ivara kale mahinda,True
unp ponnayo tawath hambainta pukadenawa ponna ranil thoge ammata hukapan keri ponnayo thopi wagakiyapiyau me jeevita walata,True
unp ponnayo thopi hadigavilama palayan ballo,True
u n p gon haththata dan sathutuda,True
nodakin kata karannawat danne ne ponna ranila,True
pala ponna ranil,True
ranil a pita paw nodi mariyan,True
virawansayo uba kauda kiyalah apita amataka na ballo topi dan ballo wage udubiruwata ahinsaka minissu kiyak tpoi maruwada j v p balla towah hadigawenna ona dan balla wage uduburanawa topitahe hena ganahawa sakkiliyo,True
oya serama hambayo maranna oonea urro pig damala,True
me hutta monawsda me kiyanne ponna ranila,True
idakin me parlimentuwe inne harak mokekhari hari ho waradi kata karaddi katawal wahagana inna danne na munta metaram jivita nati welah munta ganak na tirisanun hodai topi ballanta wadiya nodaki hatta,True
ranilata katha karanna baha uuta sinhala baha thatamanawa gihin reela wara kari ponnaya buddhi ansa hire daala tho thamai mema vinasaya kale,True
kala kanni heththa mun sepa gannawa higana keri ballo thopita hena gahapiya,True
yako topi balatanhawe maranogana rata gana hetapiyui para ballo rala topit ballo ketannwat watinne naha ballo topita wada dayak lankwe karanawa,True
yakko rilla rannil ponnayo nimal werawanssala kiyanne shatika atta mee jannatwa marrila duken asarrana wella innawellawaka mun parali menttu inha weve magul nattanawa munwa ghla panbana jannatawa idiriyata ennai dan onne,True
rahuman aran warella parata gal gahala maranna,True
wal sakkili naki ranilo tho monawada oya kiyaeanna owa ape rata ta adala ne tho inne engalanthe da tho him a wevi jokes dala katha karanne thota sathutuda,True
ane ranil nakiyo umbata sathutu athi umba batalanda rajane umba adath mini le bala bala sathutu una umba ada katha karanne hi the sathutu mu baila kiyanne monawada me wal booruwa kiyawanne goonp wal sakkilinta hari sathutui,True
unp para ballo mage rata keewa thopita henagahapiyaw,True
ane ponna lopiya puka,True
ponna ranilo badurideen okata sambandai,True
sakkili ballo,True
pake wimalaya,True
me wage vikata ponna agamathi janadipathi kathanayaka enna rataka me wage vinasa wena aka ahanna deyakda,True
me uththala ballo wage,True
ma sakkili danuth kagahanava kaudayako arakagahana sakkili rsttata mavavipatakvala munta bomba gahanna kanaknadda,True
sakkili ballo katha kara kara muslim unwa eliyata danawa hina wewi kalakanni minissu marila ballo thopi gu kapalla ohoma hina wenne thopi marun nahane sapa wewa ubalata,True
oya kathanayaka ballawai ranilai gon maeththiri pabayai unta oya bomma gehuwanam rata ta hodawenawa ahinsaka minissu maranawata okun merila giyanam ratata hodak wenawa,True
pohottuwata jayawewa puthanage janabalayata antha parajai hukano,True
para suddata puka dena lankawe kalu suddo,True
jayawewa,False
wellassa tv kawada peramune bandara sir atulu siyaludenata theruwan saranai,False
pinwath daruwek saduni bandaara mahath maya oba deviyange daruwek,False
pcr nokara ennatha gannath epa,False
dubai ape ayata haduna,False
wadak ne ennath kalata hadenawa oke aaraksawak nea,False
teruwan saranai,False
sadu sadu sadu ape sarta budu saranai,False
bohoma sthuthi obata theruvan saranai,False
sadu sadu sadu samatama samma sambudu saranai,False
rajita malli budu saranai oyata apita niwassa dinawata,False
obata nirogisuwa pathami,False
oba samata taruwan saranai,False
subama suba rathriyak wewa siyaluma denata budusaranai,False
aubowan rajitha putha obata chiran jayathu theruwan sarani,False
taruwan saranai siyalu danata ma niduka nirogi bawaya sita a patan siyalla sarataka wawa,False
pake deshapalane and pake news topi okkama iwarai wadi klayak na,True
dostharya harakek,True
balamuko davas kiyak yaida kiya,False
pakay katha nayaka api hithapu ratak da apata may labunay,True
kauda bolamee himepano kadenalta kadenal kiyapallako,False
bus gassthu wedikala dan dan k pamanadagena yanawa hamathanama bus oyawage kara uda inne seatganata nevei magin geniyanne policiyata thuthi bus check karanawata eeye wagema edineda check karanna,False
gada gahana ratak gada gahana duushitha paalakayo appiriyai,True
ane ponnayo thopita pewethmak nehe rajapakshala mada gahana aka nethiwa enna behe,True
nandaseena gootabaya fail fail fail,False
ane janadi patti tumeni udau karana,False
ane janadi patti tumeni me gammanetta udu karana pau,False
oya ganu seratama hapan oya polisiytta mada gahana karane owa udgosana nemeballiyo,True
oba tumata dirgausa labew,False
pcr test adu karala hamuvena rogeen pramanaya adu karanna puluvan eken venne handuna nogath rogeen vadi vadiyen samajagatha venava namuth marana adu karanna puluvanda marana vadi venava,False
good morning,False
good morning sir,False
sadu sadu sadu,False
igenagatta nati moda hark innakam ape rata hadanna bha mokada unne me rajaya genave,False
hunu gal nidi thiyenawa pojja pitiya ehe patthen digatama thiyenawa ampitiya haraha digatama s b disanayake me yalage patthe kapu liyadde me hamathanama thitenawa,False
ubala thamai wenas karanna oni me minissunwa aimath ape ratata me ayo epa andu hadannata dan rate minissu mattu wela inne deepalla wena aluth pakshayakata,False
pasqu comisama awul kiyana siyalu desapalana pacshawala un muslim neethiya wenas karanawata kamathi naththe ay,False
kalla kanni katanakyaa,True
megolata tami dennaona,False
den okkamala babala wela,False
aiyo aiyo bodubala bala,False
ko thawath kade yana baiyo,False
malli carnt neni,False
ko vides puwath sirasthsala vitharada,False
thopi mariyaw desa paluwoooo ratama iwarai,True
ane mun wage sakkili ponnayo tika tama ponniyak wina taram deyak nehe,True
ai ehema karanne apita school yanna hoda nedda,False
sadu sadu sadu,False
bandula buruwo tho gihin balapiya sathosa badu thiyanawadakiyala,True
telephone karayo dan babala wage katha kranne unta mathaka na ungema aanduwa kale wechcha de kiyala,False
bella ko den e drama ekath iwarai,False
navina lokaye piyambana bus erapan souysa ada nosalaka herimen obata heta dawase wagakimen gelaviya noheka,False
oya eana sanchrako gedaeinna ganu topee julla videsekaynta puoka dannakiyapan rate amtelage,True
api piligannawa pahu gia aanduwe asamandakama hinda tama aprel prahara sidda une kiala et den tianne presne ei egollanta tama danduwam dunne ne kianeka tama,False
rata wiruwanta hariyanna sancharakain genna patan aran tiyenne dan,False
horata hamadame horakang karanne dawasaka mattu veneva deng divath petelaneva nede,False
gta knight ekka matchk gahamuko,False
gta knight wa gamuko,False
emuletar eka bluestack da,False
ram eka kiyada bn ubge pc eke,False
oya gahanne blue stacks da,False
ai hemadaama dc venne peya thunak indala,False
adee dan silabus aluth nisa paya kiyanne paya i lu bn,False
guild ekata ganna rp bokka,False
ade mokkda bn rp,False
rp emulator wala aim stuck wena ekata mk one bn,False
wimall vera wansa rate janapathi wenna one kawada hari,False
hora haththa minimarim patan gaththada hathikare,True
menna maro minissu marenawa thope pohottuwa walalapan,True
nande mara wade hambanthota janathawath harahata kaiya pamanai,False
bala malu kawanam vidawapan balalo kiwwalu,False
wimale iba kiwwa neda badudeen mekata hawul isbulla amarican thanapathinith hawul kiwwa ko ban chamal badudeen kewakala sammatha kala thrasthawadi hiren eliyata aragena sammatha kala dan moka kiyanne,False
niyamai lankawe inna thesapalakkaiyo,False
nandasenata patalenawa penawa neda,False
kurunagala gas tika ewarai,False
anay pala ballanta rata deelaa deelaa dan bana kelinawaa,True
pana bayes rata pannaa mama wage,False
rata kewa,True
gota kenna borumai,False
den sepada,False
balegena wedak nane den bale tiyene obalage gawa karapu katiyata daduwam denna bala bala ine natuwa daduwam karanna nikan kiya kiya innenatuw lankawe inne newe minisun,False
pissek,True
nandasena fail na udinma pass thamange paule unge nadu okkoma itha sarthakawa iwara kara dan eyala horu nemei harima suddawantha minissu mokada me rate inne lakshayakath wada bath kana miharakne eyalat thamai oya nandasena oya gon katha kiyanne,True
keheliya thoththa babek oka kiyana kisima deyak wiswasa karanna epa unta chande dena wahal haththata gu kawanna oni,True
aye yako mechchra ad danne,False
news balanda hithennath na dan atthatma keanthi yanawa,False
konda pana nathi nayakayek api mehe pitaratawala enna vidiyak naa hirawela inne asarana minissu gana hithanne nathi borukarayek wena kisima rataka nathi neethi,True
gotabaya andu gatthe pasku prharaya wikunala thamai nathnam me anduwata rate kawruth chandayak denne naha to hodata mathakai rate purawasyanta pasku prharaya wikunala thamai putuwa gatthe n,False
aiyo laksa chande,False
ads samaga news gon channel akak,False
dan cheeneth aluthen pakshayak patan ganeeda rajayata pakshava,False
pow me ahinasaka minussunta karapu aparada daruwo pharagena karapu aparada walata shaapa wadinna oni me karapu ayata,True
me aparada karawapu unta amu amuwe hena ghanna oni munta shaaaapa wadinna oni daruwanta daruwange daruwanta powel pitin sjaaaapa wadinna oni pow karayo thrisannu wage manussinwa mara dammata,True
me pasku prharaye attha sathya api rate okkitama danaganna oni wasan karanna denna epa loku aparadayak rate minissinwa ahinsaka minissunwa amu amuwe gathanaya kala ganna me naduwa adikaranayata lankawe prjathanthrawadaya naha pitaratin jathayantharayen me naduwa ganna puluwan cardinal unwahaseth uanawa jathyanthareta nisshbdawa innawa kiyanne api waradda bara gannawa wage maithreepala janadipathiwa pohootuwen thamai waradi karaya kaleeee api newwi,False
yaha palanayata waradda danna epa yaha palanaya wattannata karapu kumantharayak api rate okkoma buddimathinta baladarinta katha karanne me anduwa nidos weemata boru wapura wapura attha wahannata dagalanawa denna epa attha wasan karannata rate catholic minissunta wagema rate purawasiyanta karana asadaranayak me naduwa lankawe ganna barinam jathyantgarayat geniyannalaaaaaa balagena inne nathuwa please,False
as pujakayo sinha rajayata wena aparada hu hu hu sepada sinhalaya modaya,True
ane boru kiyanna epa ratama dannawa obalage patikiriya rate minissinta aimath andawannata enawa pasku bombayata gotabayala waga kiyanna oni,False
ithin kiyannakoooooo me pasku prharaya kawda kerewwe kiyala witharak ethakota ewi peliyata dan hiapu jnadipathi thuma patthata ganne bayata srilanka nidahas akshaye yai kiyala,False
yaha palanaya hodata wishista lesa rata palanaya karanawa balagena inna baruwa me pasku prharhaya gassuwe dan amathkada danne naha,False
gotabaya war eka kalaye ratin panala giya hamuda karayek,False
ape kala tikath kapanawa,False
gobba sena,True
ane noka idala merila palayau,True
sf hari mokada pennala minussu rawata yatin denawoo para usa kasadeta moragoda pimpi kapuwa behela weda wage,True
gon sirisena karannema oya wage weda aparade janatavage salli,True
apa uthum janadipathi uthum uthum uthum thruwan saranai digasiri,False
me kudu karayanwa athadanguwata gaththa aparada ballanta hoda sapa phasu gayak arandanna thibba kariyanta bissnas karanna kala kanninta kanna dannama narakai okunwa allalamaranna nathuwa bambu gahanawa,True
kohomada hitange laggala sathi pola,False
ahara nogatthata lamak na denna epa illiim,True
ilage rata janadipethi fonseka katin bateale harenewa mun aurudu k kore keruwawe madaii,False
kanne nathiwa marila palayau thopi,True
oda thumaga wada katayuthu nam anargai,False
bandara matthayo oyala welassa addars aka sms karanna nethin emel aka hari sms karanna bs,False
dinen dina diyunuwewa me karana pinbalen udaukala siyaludenata bohomapin,False
aneka warayak pin siyaluma denata budusaranai,False
udau kerapu semata godak pin jayaveva bohoma pin teruvan saranai,False
wallassa tv ekata dalada samidu pihitai,False
niyamai bandara sir,False
suba sandyawak wallassa tv bandara sir atulu karya mandalayata budu saranai samta,False
mhaloku upadidariyo kasebawai ibebai haduna ganna bae borukiyanda epa oi owathe news da thawa thiyanawa wana kunu rate ewa oyanda,True
oya pakayawa mata dapalla okawa puka arala maranawa,True
kary hambayo,True
yahapalene sanhidiawe pretipale tabbi demellu ape policeyete hamuda wete arakseke anse adikereneyete abiyoge kerene tanete me i ita sanhidiyawe swilla badurdin eke call ekai hamuda petipalliwele aude sewille natere una ade e welawe pretipale ade rate nitiyete abiyoge kerenne sulu jatinte puluhan wela onne yahapalene saba wenese,False
ma mawlawarayak kasawatat antawadiyakad kohada horan video kala ae gawa gatanaya natara wanawanm kochchara hodaeda agamate mahenda rajapaksa tumanta godak pin m,False
haraka beruna ehenam wal thambiyagen,True
eka hoda wadak munwa kohomath ves wasa karandama baha ne,False
dan kiyai aniyata beya venda epa kiyala polawa gela bassata passe kiyai api kiuwa ainvenda kiyala dena dekakma una nam tawath monawada kiyanne kadu harana eka nawath wanda danata beya venda epalu ane manda,False
covid ivarada hee hee mukuth kiuve nehrne,False
samera ruwaneka suba dawasak wawa stute hiru news oyalata budu saranai oman m,False
maulawi pakaya mursi huththige putha thopiwa maranna oba yako,True
kari tambi kohomada mage rate idam vikunanna,True
oya mawlawiyath neetichgayath dennama trastayan wiya yutui nisipareekshana sidukara siragatakaranna paryo denna,True
awa gatik muslim hathtae atu ganda ganadipati tumani apita yahtin inna apa rata,True
thambi heththa elawala danna one ape ratin okkoma,True
muslem anthawade ballo own pawupetn maranta one,True
penawaneda ratata nayakayek kalin nositima nisa dan police yata wela thiyana kedajanka thathwaya aparada madaleemata yamedi,False
thambi hma town ekama allan ynwa ape ewunta ganakwath na,True
rathana hamuduruwane oya asanaya me hamuduruwanta dennnako,False
apa hamuduruwana rata apa raka ganna nam p yanna ona nirogisuwa dirgayusa pathami tharuwan saranai,False
ape rata palanaya karapu balli okkoma kare ape sinhala bauddayat arapu aeke oba wahansela natthan anith jathikayan sinhalayage puketh arala,True
teruwan saranai budusaranai hemotama,False
pada show,True
corona enna kalin vala lanna dunna api virudda une nehe koheda valalanne kiyala eth corona nisa vitharai prashne ai muslim minissunta meka therum ganna beri apita prashnayak nee oyala vala d mmata eth corona thamaiprashne,False
hee hee rathana hamudruvanta banin bauddayonta kiyanne thopila hithin ahapan katada chande dunne kiyala pohottuvatai aliyatai chande daala ivara vela comment vala daanava rathana hamuduruvo veda kare kuhakai kiya kiya daanava,False
ape hama paalakayama pakshema bayai kelin wada karanna aththatama lajjai boru kiyala baleta enawa,False
muslim muslim eka tamay katakaranne lankawa ema jatitama poduu oya tamay atrawadi bodyeka tiyannama atrawadikama pin bath kala nikan inna bene ekay pansala arala political ewith arabi ratawal nettam lankawata iga kanna wey vedkaranname ogollage kayyiya,False
sawamin wahanse wenam chande ellan gobbayo gawaganne nathuwa,True
api chandey dunney obawahanseta,False
theruwan saranai,False
obaeahanse me ratata nayakathwaya deena me ratata ekanithiya awasyai,False
oba wahanse kiyanna dewal serama eththa,False
hamuduruwane obawahanse parlimethuwe ennama ona,False
mamath kemathi ape hamuduruwnta nayakakama ganna aragena rata hadanna sudusu oba wahansema thamai oba wahanseta sakthiya dairiya labewa rata rakinna niduk nirogi ausa labewa budu saranai oba wahanseta,False
rathana hamuduruwo hitiya nisa oya pakseta mama chande dunne na,False
oya modayanva andhanta hari dhaksai,False
rathana hamuduruwane parliment seat eka gnanasara hamuduruwanta denna godak pin,False
mamath dunne chande ape jana bala pakshayata budu saranai hamuduruwane,False
sakkili thambi meka arabiya kiyala hithan atthe,True
rathanage plan ekak meka hamuduruvanta oka therum ganna bari eka thamai apita gataluva sanga gata oba vahanseta therenne nadda,False
